Park,,,,,FEB 2024,FEB 2025,,,DIFF,YTD 2024,,YTD 2025,,DIFF,
New Orleans Jazz NHP,,,,,"5,356","5,476",,,120,"10,254",,"9,727",,-527,
New River Gorge NP & PRES,,,,,"69,769","106,318",,,"36,549","141,989",,"180,482",,"38,493",
Nez Perce NHP,,,,,"7,807","6,420",,,"-1,387","15,773",,"14,887",,-886,
Nicodemus NHS,,,,,113,104,,,-9,161,,161,,0,
Ninety Six NHS,,,,,"9,862","8,417",,,"-1,445","16,010",,"12,583",,"-3,427",
Niobrara NSR,,,,,906,846,,,-60,"2,442",,"2,090",,-352,
Noatak NPRES,,,,,"22,027","21,395",,,-632,"42,844",,"41,642",,"-1,202",
North Cascades NP,,,,,520,110,,,-410,986,,616,,-370,
Obed W&SR,,,,,"46,535","48,713",,,"2,178","119,925",,"103,395",,"-16,530",
Ocmulgee Mounds NHP,,,,,"14,982","15,336",,,354,"26,950",,"25,829",,"-1,121",
Olympic NP,,,,,"233,700","194,047",,,"-39,653","428,072",,"433,637",,"5,565",
Oregon Caves NM & PRES,,,,,"1,580","1,296",,,-284,"3,062",,"2,592",,-470,
Organ Pipe Cactus NM,,,,,"271,390","271,145",,,-245,"476,603",,"503,281",,"26,678",
Ozark NSR,,,,,"24,582","18,497",,,"-6,085","43,272",,"29,220",,"-14,052",
Padre Island NS,,,,,"282,454","213,857",,,"-68,597","482,166",,"529,676",,"47,510",
Palo Alto Battlefield NHP,,,,,"28,325","25,232",,,"-3,093","46,947",,"53,614",,"6,667",
Paterson Great Falls NHP,,,,,"11,769","12,442",,,673,"25,570",,"24,806",,-764,
Pea Ridge NMP,,,,,"12,613","13,726",,,"1,113","22,006",,"20,870",,"-1,136",
Pearl Harbor NMEM,,,,,"381,654","347,394",,,"-34,260","732,393",,"716,748",,"-15,645",
Pecos NHP,,,,,"2,261","2,610",,,349,"4,000",,"4,409",,409,
Pennsylvania Avenue NHS,,,,,"3,332","2,930",,,-402,"6,614",,"6,348",,-266,
Perry's Victory & Intl. Peace MEM,,,,,292,245,,,-47,536,,469,,-67,
Petersburg NB,,,,,"10,236","29,315",,,"19,079","16,679",,"73,056",,"56,377",
Petrified Forest NP,,,,,"60,142","60,142",,,0,"115,636",,"118,328",,"2,692",
Petroglyph NM,,,,,"52,156","55,963",,,"3,807","102,163",,"102,019",,-144,
Pictured Rocks NL,,,,,"26,696","40,427",,,"13,731","44,764",,"65,385",,"20,621",
Pinnacles NP,,,,,"112,711","242,916",,,"130,205","229,590",,"504,835",,"275,245",
Pipe Spring NM,,,,,"1,611","1,428",,,-183,"2,399",,"2,582",,183,
Pipestone NM,,,,,"2,356","1,369",,,-987,"3,225",,"2,819",,-406,
Piscataway Park,,,,,"18,870","17,860",,,"-1,010","30,302",,"37,500",,"7,198",
Point Reyes NS,,,,,"765,039","928,205",,,"163,166","1,520,422",,"1,781,212",,"260,790",
Port Chicago Naval Magazine NMEM,,,,,80,346,,,266,304,,544,,240,
President W.J. Clinton Birthplace Home NHS,,,,,251,328,,,77,388,,565,,177,
President's Park,,,,,"23,969","23,969",,,0,"70,306",,"70,306",,0,
